Header line
Hubei,Mainland China,2020-02-27T12:13:14,65596,2641,23383,30.73781,112.2384
,South Korea,2020-02-27T12:03:04,1766,13,22,35.90776,127.7669
Guangdong,Mainland China,2020-02-27T09:53:02,1347,7,890,23.37903,113.7633
Henan,Mainland China,2020-02-27T15:03:11,1272,20,1068,34.29043,113.3824
Zhejiang,Mainland China,2020-02-27T12:43:02,1205,1,932,29.14164,119.7889
Hunan,Mainland China,2020-02-27T12:43:02,1017,4,804,38.85133,-76.89086
Anhui,Mainland China,2020-02-27T14:13:06,989,6,792,31.84744,117.2882
Jiangxi,Mainland China,2020-02-27T01:43:02,934,1,754,27.08746,114.9042
Shandong,Mainland China,2020-02-27T14:13:06,756,6,387,35.89396,117.9249
Diamond Princess cruise ship,Others,2020-02-26T19:33:02,705,4,10,0,0
,Italy,2020-02-27T23:23:02,655,17,45,41.87194,12.56738
Jiangsu,Mainland China,2020-02-27T14:13:06,631,0,498,33.14017,119.7889
Chongqing,Mainland China,2020-02-27T23:23:02,576,6,401,29.43159,106.9123
Sichuan,Mainland China,2020-02-27T12:43:02,534,3,321,30.2638,102.8055
Heilongjiang,Mainland China,2020-02-27T12:43:02,480,13,270,47.12165,128.7382
Beijing,Mainland China,2020-02-27T02:23:13,410,5,248,39.9042,116.4074
Shanghai,Mainland China,2020-02-27T04:03:12,337,3,276,31.23042,121.4737
Hebei,Mainland China,2020-02-27T12:43:02,317,6,274,38.95023,115.3324
Fujian,Mainland China,2020-02-27T10:03:07,296,1,228,24.49435,118.4163
Guangxi,Mainland China,2020-02-27T10:03:07,252,2,161,23.72476,108.8076
,Iran,2020-02-27T12:03:04,245,26,49,32.42791,53.68805
Shaanxi,Mainland China,2020-02-27T12:43:02,245,1,195,35.39399,109.188
,Japan,2020-02-27T23:33:02,214,4,22,36.20482,138.2529
Yunnan,Mainland China,2020-02-27T10:03:07,174,2,150,24.47528,101.3431
Hainan,Mainland China,2020-02-27T10:03:07,168,5,131,19.56639,109.9497
Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112,26.84296,107.2903
Tianjin,Mainland China,2020-02-27T23:13:04,136,3,102,39.34336,117.3616
Shanxi,Mainland China,2020-02-27T23:13:04,133,0,107,37.24257,111.8569
Liaoning,Mainland China,2020-02-27T14:13:06,121,1,93,41.94365,122.529
Jilin,Mainland China,2020-02-27T12:43:02,93,1,67,43.83788,126.5496
,Singapore,2020-02-26T19:33:02,93,0,62,1.352083,103.8198
Hong Kong,Hong Kong,2020-02-27T09:53:02,92,2,24,22.3193,114.1694
Gansu,Mainland China,2020-02-26T14:13:10,91,2,81,35.75183,104.2861
Xinjiang,Mainland China,2020-02-27T12:43:02,76,2,43,42.52464,87.53959
Inner Mongolia,Mainland China,2020-02-27T23:33:02,75,0,43,43.37822,115.0595
Ningxia,Mainland China,2020-02-27T10:03:07,72,0,68,37.19873,106.1581
,Germany,2020-02-27T23:13:04,46,0,16,51.16569,10.45153
,Kuwait,2020-02-27T13:33:03,43,0,0,29.31166,47.48177
Unassigned Location (From Diamond Princess),US,2020-02-26T20:03:06,42,0,0,0,0
,Thailand,2020-02-26T07:23:03,40,0,22,15.87003,100.9925
,France,2020-02-27T22:13:10,38,2,11,46.22764,2.213749
,Bahrain,2020-02-26T21:03:07,33,0,0,26.0667,50.5577
Taiwan,Taiwan,2020-02-26T12:23:04,32,1,5,23.69781,120.9605
,Malaysia,2020-02-27T15:13:13,23,0,18,4.210484,101.9758
